outlet,facebook_page,region
Bristol Post,https://www.facebook.com/bristol.live,england
Coventry Live,https://www.facebook.com/livecoventry,england
Grimsby Live,https://www.facebook.com/grimsbylive,england
Leicester Mercury,https://www.facebook.com/leicestershirelive,england
Nottingham Post,https://www.facebook.com/nottinghamshirelive,england
Stoke Sentinel,https://www.facebook.com/stokeontrentlive,england
Wales Online,https://www.facebook.com/WalesOnline,wales
Basingstoke Gazette,https://www.facebook.com/basingstokegazette,england
Derbyshire Times,https://www.facebook.com/derbyshiretimes,england
Falkirk Herald,https://www.facebook.com/falkirkherald,scotland
