outlet,website,publisher,facebook_page,status
Liverpool Echo,https://www.liverpoolecho.co.uk,Reach,https://www.facebook.com/theliverpoolecho,found
Manchester Evening News,https://www.manchestereveningnews.co.uk,Reach,https://www.facebook.com/ManchesterEveningNews,found
Birmingham Mail,https://www.birminghammail.co.uk,Reach,https://www.facebook.com/birmingham.live,found
Bristol Post,https://www.bristolpost.co.uk,Reach,https://www.facebook.com/bristol.live,found
Cornwall Live,https://www.cornwalllive.com,Reach,https://www.facebook.com/cornwalllivenews,found
Coventry Live,https://www.coventrytelegraph.net,Reach,https://www.facebook.com/livecoventry,found
Daily Post Wales,https://www.dailypost.co.uk,Reach,https://www.facebook.com/northwaleslive,found
Derby Telegraph,https://www.derbytelegraph.co.uk,Reach,https://www.facebook.com/derbyshirelive,found
Daily Record,https://www.dailyrecord.co.uk,Reach,https://www.facebook.com/TheScottishDailyRecord,found
Devon Live,https://www.devonlive.com,Reach,https://www.facebook.com/thisisexeter,found
Chronicle Live,https://www.chroniclelive.co.uk,Reach,https://www.facebook.com/NewcastleChronicle,found
Gazette Live (Teesside),https://www.gazettelive.co.uk,Reach,https://www.facebook.com/teessidelive,found
Gloucestershire Live,https://www.gloucestershirelive.co.uk,Reach,https://www.facebook.com/GlosLiveOnline,found
Grimsby Live,https://www.grimsbytelegraph.co.uk,Reach,https://www.facebook.com/grimsbylive,found
Examiner Live,https://www.examinerlive.co.uk,Reach,https://www.facebook.com/YorkshireLive,found
Hull Live,https://www.hulldailymail.co.uk,Reach,https://www.facebook.com/hulllive,found
Leicester Mercury,https://www.leicestermercury.co.uk,Reach,https://www.facebook.com/leicestershirelive,found
Lincolnshire Live,https://www.lincolnshirelive.co.uk,Reach,https://www.facebook.com/LincsLive,found
MyLondon,https://www.mylondon.news,Reach,https://www.facebook.com/mylondonnews,found
Nottingham Post,https://www.nottinghampost.com,Reach,https://www.facebook.com/nottinghamshirelive,found
Plymouth Live,https://www.plymouthherald.co.uk,Reach,https://www.facebook.com/plymouthlive,found
Somerset Live,https://www.somersetlive.co.uk,Reach,https://www.facebook.com/somersetlive,found
Stoke Sentinel,https://www.stokesentinel.co.uk,Reach,https://www.facebook.com/stokeontrentlive,found
Surrey Live,https://www.getsurrey.co.uk,Reach,https://www.facebook.com/surreylivenews,found
Wales Online,https://www.walesonline.co.uk,Reach,https://www.facebook.com/WalesOnline,found
Yorkshire Live,https://www.examinerlive.co.uk,Reach,https://www.facebook.com/YorkshireLive,found
Kent Live,https://www.kentlive.news,Reach,https://www.facebook.com/kentlivenews,found
Essex Live,https://www.essexlive.news,Reach,https://www.facebook.com/essexlivenews,found
Cambridgeshire Live,https://www.cambridge-news.co.uk,Reach,https://www.facebook.com/cambridgeshirelive,found
Beds Live,https://www.bedfordshirelive.co.uk,Reach,https://www.facebook.com/cambridgeshirelive,found
Herts Live,https://www.hertfordshiremercury.co.uk,Reach,https://www.facebook.com/HertsLive,found
